id,name,company,raw_source,website,mode,contact_email,draft_status,send_status,address,profession,phone,draft_body
d94f787a-2169-4670-942d-628ffc6126a2,Dr. Sandeep Budhiraja,Max Healthcare,Search Grounding,https://www.maxhealthcare.in/,BUSINESS_SALES,,PENDING,QUEUED,"Delhi, India",Internal Medicine,+91 926 888 0303,
754d9860-55c9-4a92-a8d1-cf3a3cbcedbc,Dr. Pradeep Chowbey,Max Healthcare,Search Grounding,https://www.maxhealthcare.in/,BUSINESS_SALES,,PENDING,QUEUED,"Delhi, India","Laparoscopic, Endoscopic, Bariatric & Gastrointestinal Surgery",+91 926 888 0303,
61ac0816-ecb4-417f-a4b7-94eb8955f879,Prof (Dr.) Subhash Gupta,Max Healthcare,Search Grounding,https://www.maxhealthcare.in/,BUSINESS_SALES,,PENDING,QUEUED,"Delhi, India",Liver & Biliary Sciences,+91 926 888 0303,
cf80b13a-5a22-4586-b217-66c12eab8d9f,Dr. Dinesh Khullar,Max Healthcare,Search Grounding,https://www.maxhealthcare.in/,BUSINESS_SALES,,PENDING,QUEUED,"Delhi, India",Nephrology & Renal Transplant Medicine,+91 926 888 0303,
973b6805-d774-4f3c-a5d0-5d83d25d33f4,Dr. S.K.S. Marya,Max Healthcare,Search Grounding,https://www.maxhealthcare.in/,BUSINESS_SALES,,PENDING,QUEUED,"Delhi, India","Orthopaedics, Joints and Robotic Surgery",+91 926 888 0303,
a605cf11-9aed-4014-953e-db533af4dbb5,Dr. Ambrish Mithal,Max Healthcare,Search Grounding,https://www.maxhealthcare.in/,BUSINESS_SALES,,PENDING,QUEUED,"Delhi, India",Endocrinology & Diabetology,+91 926 888 0303,
eea54ea6-3f09-47d0-b718-629187b082b9,Dr. (Col) Joy Dev Mukherji,Max Healthcare,Search Grounding,https://www.maxhealthcare.in/,BUSINESS_SALES,,PENDING,QUEUED,"Delhi, India",Neurology,+91 926 888 0303,
2a390774-d3a8-4b9c-b13a-d20ba4c52f53,Dr. Bhushan Nariani,Max Healthcare,Search Grounding,https://www.maxhealthcare.in/,BUSINESS_SALES,,PENDING,QUEUED,"Delhi, India","Orthopaedics & Joint Replacement, Robotic Surgery",+91 926 888 0303,
5a111c49-a204-48f0-b77d-2b1ab750dc0a,Dr. Sanjay Sachdeva,Max Healthcare,Search Grounding,https://www.maxhealthcare.in/,BUSINESS_SALES,,PENDING,QUEUED,"Delhi, India",ENT(Ear Nose Throat),+91 926 888 0303,
34efaeef-2cc5-482c-925f-56f6f6a21806,Prof.(Dr.) Atul Sharma,Max Healthcare,Search Grounding,https://www.maxhealthcare.in/,BUSINESS_SALES,,PENDING,QUEUED,"Delhi, India",Medical Oncology,+91 926 888 0303,
dda24a0a-059d-4d2d-9062-8f5dbb732494,Dr. Sameer Shrivastava,Max Healthcare,Search Grounding,https://www.maxhealthcare.in/,BUSINESS_SALES,,PENDING,QUEUED,"Delhi, India","Cardiology, Interventional Cardiology",+91 926 888 0303,
0dd878ee-d285-4f68-8306-3b2bd999325c,Dr. Randeep Wadhawan,Max Healthcare,Search Grounding,https://www.maxhealthcare.in/,BUSINESS_SALES,,PENDING,QUEUED,"Delhi, India","GI, Minimal Access & Bariatric Surgery",+91 926 888 0303,
7ba14a47-78a1-4736-a480-4672674e8b78,Dr. Viveka Kumar,Max Healthcare,Search Grounding,https://www.maxhealthcare.in/,BUSINESS_SALES,,PENDING,QUEUED,"Delhi, India","Cardiology, Interventional Cardiology, Cardiac Electrophysiology-Pacemaker",+91 926 888 0303,
b8e4d784-7d79-49a3-ac89-0891366126ad,Dr. Anant Kumar,Max Healthcare,Search Grounding,https://www.maxhealthcare.in/,BUSINESS_SALES,,PENDING,QUEUED,"Delhi, India","Urology, Kidney Transplant, Robotic Surgery",+91 926 888 0303,
090bbc8e-5b3d-452b-9fb9-650ee344d32a,Dr. Ashok Kumar Agarwal,Dr. Ram Manohar Lohia Hospital,Search Grounding,,BUSINESS_SALES,,PENDING,QUEUED,"New Delhi-110001, India",Internal Medicine,"24699445, 24699446",
230bbe88-d99f-44c7-927c-a4d7bcdc159b,Dr. Nitin Agarwal,University College of Medical Sciences & GTB Hospital,Search Grounding,,BUSINESS_SALES,,PENDING,QUEUED,"Delhi-110096, India",Surgery,"9810568719, 9868399542",
b14e57be-f13d-4cbc-9a40-cae4e038ae8c,Dr. Amitesh Aggarwal,University College of Medical Sciences & GTB Hospital,Search Grounding,,BUSINESS_SALES,dramitesh@gmail.com,PENDING,QUEUED,"Noida- 201301 (U.P.), India",Internal Medicine,09811060025,
df97efb3-ec39-4b17-9207-4cfcaa7e9dab,Dr. Prathap C Reddy,Apollo Hospitals,Search Grounding,https://www.apollohospitals.com/,BUSINESS_SALES,assistance@apollohospitalsdelhi.com,PENDING,QUEUED,"Sarita Vihar, Delhi, India",,+(91)-11-26925858,
2c282fb8-960b-4961-a48e-5be253964f40,Dr. S. C. Acharjee,Eye Institute,Search Grounding,,BUSINESS_SALES,,PENDING,QUEUED,"South Extension II, New Delhi- 110049, India",Ophthalmology,26440715,
7c6bab8d-22c3-4caa-a81e-8337bce88c4c,Dr. Amit Mittal,Apollo Hospitals,Search Grounding,https://www.apollohospitals.com/,BUSINESS_SALES,,PENDING,QUEUED,"Delhi, India",,,
4399e277-21b5-4604-be78-d9d64c96ce90,Dr. K. K. Saxena,Apollo Hospitals,Search Grounding,https://www.apollohospitals.com/,BUSINESS_SALES,,PENDING,QUEUED,"Delhi, India",,,
581c92dd-85ae-4c5c-a28a-68e386970bdf,Dr. Aditi,,Search Grounding,,BUSINESS_SALES,aditibhatia26@gmail.com,PENDING,QUEUED,Delhi,,9818849496,
2b2f6592-0897-4b67-a858-1393d5305d3d,Dr. Hitesh Arora,,Search Grounding,,BUSINESS_SALES,hitesh2arora@gmail.com,PENDING,QUEUED,Delhi,,9811688334,
60eca25e-0879-4df4-96cb-0fdab8278f83,Manjeet Sinha,,Search Grounding,,BUSINESS_SALES,physiodrvishal@gmail.com,PENDING,QUEUED,Delhi,,8527501988,
b7207c22-9607-4c34-a95a-1856ee2b9fa1,Dr. Sona,,Search Grounding,,BUSINESS_SALES,doc_riya23@yahoo.co.in,PENDING,QUEUED,Delhi,,9873031663,
541f6801-497d-43f2-93c5-84923c4afa71,Dr. Mithee Bhanot,Apollo 24|7,Search Grounding,apollo247.com,BUSINESS_SALES,,PENDING,QUEUED,"Gurgaon, Haryana",Obstetrician and Gynaecologist,,
c0a802e7-773f-4f12-a896-21628cfb6c78,Dr. Sundeep Kumar Upadhyaya,Apollo 24|7,Search Grounding,apollo247.com,BUSINESS_SALES,,PENDING,QUEUED,"Gurgaon, Haryana",Rheumatologist,,
926bddd0-1130-4add-b423-bf48d5facf6e,Dr. Anshuman Agarwal,Apollo 24|7,Search Grounding,apollo247.com,BUSINESS_SALES,,PENDING,QUEUED,"Gurgaon, Haryana",Urologist,,
99bb2e85-3fef-4a6f-9624-de0ef4e7cb2a,Dr. Chandar Mohan Batra,Apollo 24|7,Search Grounding,apollo247.com,BUSINESS_SALES,,PENDING,QUEUED,"Gurgaon, Haryana",Endocrinologist,,
ebc53be4-68b9-4d26-b791-778946eb75b3,Dr. Sohan Lal Broor,Apollo 24|7,Search Grounding,apollo247.com,BUSINESS_SALES,,PENDING,QUEUED,"Gurgaon, Haryana",Gastroenterology/GI Medicine Specialist,,
6069f5b4-689f-427e-8c2f-a5816e5a2b19,Prof Dr Pawanindra Lal,Apollo 24|7,Search Grounding,apollo247.com,BUSINESS_SALES,,PENDING,QUEUED,"Gurgaon, Haryana",Minimal Access/Surgical Gastroenterology,,
bbd19aa4-564e-46ca-bb9d-74d4cb0843f1,Dr Anshuman Kaushal,Apollo 24|7,Search Grounding,apollo247.com,BUSINESS_SALES,,PENDING,QUEUED,"Gurgaon, Haryana",Minimal Access/Surgical Gastroenterology,,
6f58427c-d5d0-43ff-bdf3-9b21c6b4d3d0,Dr. Kalpana Nagpal,Apollo 24|7,Search Grounding,apollo247.com,BUSINESS_SALES,,PENDING,QUEUED,"Gurgaon, Haryana",,,
e408a434-5c12-44e0-9faa-b106d52a3264,Dr. Anil K Dcruz,Apollo 24|7,Search Grounding,apollo247.com,BUSINESS_SALES,,PENDING,QUEUED,"Gurgaon, Haryana",,,
c482f4aa-c642-4d9e-b5f9-b229c815fbb4,Dr. M S Chaudhary,Apollo 24|7,Search Grounding,apollo247.com,BUSINESS_SALES,,PENDING,QUEUED,"Gurgaon, Haryana",,,
2c671f50-486e-4698-987f-f1792068492f,Dr. Rohit Vohra,Apollo 24|7,Search Grounding,apollo247.com,BUSINESS_SALES,,PENDING,QUEUED,"Gurgaon, Haryana",,,
